央视,#genre#
四川卫视,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000295003.m3u8
河南卫视,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000296103.m3u8
东南卫视,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000292503.m3u8
贵州卫视,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000293303.m3u8
江西卫视,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294103.m3u8
辽宁卫视,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000281303.m3u8
安徽卫视,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000298003.m3u8
河北卫视,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000293403.m3u8
山东卫视,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294803.m3u8
天津卫视,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2019927003.m3u8
新疆卫视,http://111.31.123.245/tlivecloud-ipv6.ysp.cctv.cn/ysp/2019927403.m3u8
